E(level)(keV),XREF,Jπ(level),T1/2(level),E(γ)(keV),I(γ),M(γ),Final Levels,
4600.97 17,B,,,"3815.06 17 ,   4312.8 4","100 6 ,     47 6",",","785.71,     288.40","4+, 3+"
≈4610?,A   E,,,,,,,
≈4626,A,,,,,,,
≈4668,A,,,,,,,
≈4698,A,"3-,4-",,,,,,
4700 30,D,7+,,,,,,
≈4713,A,,,,,,,
4752.33 12,AB,,,"2399.6 3 ,   3966.60 11 ,   4245.3 9","19.0 25 ,    100 5 ,      5.9 15",", ,","2351.87,     785.71,     506.20",", 4+, 3+"
≈4773,A,,,,,,,
≈4786,A,,,,,,,
4800 30,D,7+,,,,,,
4800.1 3,AB,"3-,4-",,"1998.48 14 ,   3349.2 6 ,   4799.5 4","1.0E+2 1 ,     44 8 ,     40 5",", ,","2801.6,    1451.21,       0.0",", 4+, 5+"
4811.3 5,AB,,,3302.9 5,100,,1508.3,"2+,3+"
4827.5 7,F,-11,< 0.28 ps,550.5 4,100,,4277,-10
≈4841,A,,,,,,,
≈4864,A,,,,,,,
4874.2 9,AB,,,3493.1 9,100,,1380.97,3+
≈4893,A,,,,,,,
≈4917,A,"3-,4-",,,,,,
≈4932,A,,,,,,,
≈4965,A,,,,,,,
≈4980,A,,,,,,,
≈4995,A,,,,,,,
≈5014,A,,,,,,,
≈5031,A,,,,,,,
≈5057,A,,,,,,,
≈5083,A,,,,,,,
≈5098,A,,,,,,,
≈5113,A,,,,,,,
≈5133,A,,,,,,,
≈5146,A,,,,,,,
5160.8 6,A    F,-11,< 0.28 ps,883.79 11,100,,4277,-10
≈5189,A,,,,,,,
≈5202,A,,,,,,,
≈5243,A,,,,,,,
≈5271,A,,,,,,,
≈5291,A,,,,,,,
≈5306,A,,,,,,,
≈5326,A,,,,,,,
≈5350,A,,,,,,,
≈5372,A,,,,,,,
≈5394,A,,,,,,,
≈5411,A,,,,,,,
≈5424,A,,,,,,,
≈5440,A,,,,,,,
≈5456,A,,,,,,,
≈5471,A,,,,,,,
≈5488,A,,,,,,,
≈5529,A,,,,,,,
≈5545,A,,,,,,,
≈5560,A,,,,,,,
5575.6 8,A    F,,< 0.14 ps,748.1 3,100,,4827.5,-11
≈5591,A,,,,,,,
≈5610,A,,,,,,,
≈5638,A,,,,,,,
≈5655,A,,,,,,,
≈5670,A,,,,,,,
≈5684,A,,,,,,,
≈5705,A,,,,,,,
≈5731,A,,,,,,,
≈5750,A,,,,,,,
≈5773,A,,,,,,,
≈5809,A,,,,,,,
≈5822,A,,,,,,,
≈5838,A,,,,,,,
≈5852,A,,,,,,,
≈5871,A,,,,,,,
≈5889,A,,,,,,,
≈5928,A,,,,,,,
≈5943,A,,,,,,,
≈5955,A,,,,,,,
≈5973,A,,,,,,,
≈5987,A,,,,,,,
≈5999,A,,,,,,,
≈6013,A,,,,,,,
≈6027,A,,,,,,,
≈6047,A,,,,,,,
≈6066,A,,,,,,,
≈6088,A,,,,,,,
≈6104,A,,,,,,,
≈6129,A,,,,,,,
≈6146,A,,,,,,,
≈6165,A,,,,,,,
≈6180,A,,,,,,,
≈6198,A,,,,,,,
6417 1,F,-12,< 0.14 ps,1256.2 8,100,,5160.8,-11
7.05E+3 5,H,,,,,,,
7491.92 8 S,B,"3-,4-",,,,,,
≈7514,C,,,,,,,
7.79E+3 4,H,,,,,,,
8122.4 17,F,-13,< 0.35 ps,2546.8 15,100,,5575.6,
8.69E+3 15,H,,,,,,,
,,,,,,,,
E(level)(keV),Jπ(level),T1/2(level),E(γ)(keV),Multipolarity,MixingRatio,ConversionCoefficient,Additional Data,
58.59,2+,"10.467 m 6 , % IT = 99.75 3, % β- = 0.25 3",58.603 7,M3+(E4),0.02 LT,47.3,"B(M3)(W.u.)=3.9, α=47.3, α(K)=39.4 6, α(L)=6.86 12, α(M)=0.966 16, α(N)=0.0310 5, α(N+)=0.0310 5",
277.2,4+,,277.08 3,(M1+E2),,0.007,"α=0.007 5, α(K)=0.006 4, α(L)=0.0006 4, α(M)=9.E-5 6, α(N)=3.8E-6 22, α(N+)=3.8E-6 22",
288.4,3+,,229.72 4,(M1+E2),,0.014,"α=0.014 9, α(K)=0.012 8, α(L)=0.0012 8, α(M)=0.00017 12, α(N)=7.E-6 5, α(N+)=7.E-6 5",
435.71,5+,,158.46 5,(M1+E2),,0.05,"α=0.05 4, α(K)=0.05 4, α(L)=0.005 4, α(M)=0.0007 5, α(N)=2.7×10-5 20, α(N+)=2.7E-5 20",
5+,,435.71 5,(M1+E2),,0.0017,"α=0.0017 7, α(K)=0.0015 6, α(L)=0.00015 6, α(M)=2.1×10-5 8, α(N)=9.E-7 4, α(N+)=9.E-7 4",,
506.2,3+,,447.68 9,(M1+E2),,0.0016,"α=0.0016 6, α(K)=0.0014 6, α(L)=0.00014 6, α(M)=1.9×10-5 8, α(N)=8.E-7 3, α(N+)=8.E-7 3",
542.82,2+,,254.23 5,(M1+E2),,0.01,"α=0.010 6, α(K)=0.009 6, α(L)=0.0009 6, α(M)=0.00012 8, α(N)=5.E-6 3, α(N+)=5.E-6 3",
614.55,3+,,555.969 12,(M1+E2),,0.00084,"α=0.00084 24, α(K)=0.00076 22, α(L)=7.4×10-5 21, α(M)=1.0E-5 3, α(N)=4.5E-7 13, α(N+)=4.5E-7 13",
785.71,4+,< 3.2 ps,497.275 18,(M1+E2),,0.0012,"α=0.0012 4, α(K)=0.0010 4, α(L)=0.00010 4, α(M)=1.4×10-5 5, α(N)=6.2E-7 20, α(N+)=6.2E-7 20",
4+,< 3.2 ps,785.724 10,(M1+E2),,0.00035,"α=0.00035 6, α(K)=0.00031 5, α(L)=3.0×10-5 5, α(M)=4.2E-6 7, α(N)=1.9E-7 3, α(N+)=1.9E-7 3",,
1800.22,(6)-,1.7 ps +14-6,1799.70 22,[E1],,0.000525,"B(E1)(W.u.)=0.41E-4 24, α=0.000525 8, α(K)=3.11E-5 5, α(L)=2.97E-6 5, α(M)=4.14E-7 6, α(N)=1.86E-8 3, α(N+)=0.000491 7",
,,,,,,,,
E(level),Jπ(level),T1/2(level),Comments,,,,,
1216.45,6+,0.28 ps +21-14,Jπ(level): Configuration=62Ni~#(p 1f7/2)-1.,,,,,
1379.74,6+,0.7 ps 3,Jπ(level): Configuration=62Ni~#(p 1f7/2)-1.,,,,,
1510,7+,,Jπ(level): Configuration=62Ni~#(p 1f7/2)-1.,,,,,
2363.96,,,"E(level): From 59Co(n,γ), (pol n,γ).",,,,,
3108,7+,,Jπ(level): Configuration=62Ni~#(p 1f7/2)-1.,,,,,
3469,7+,,Jπ(level): Configuration=62Ni~#(p 1f7/2)-1.,,,,,
3529,,,"E(level): From 62Ni(d,α).",,,,,
3674,7+,,"E(level): From 62Ni(d,α)., Jπ(level): Configuration=62Ni~#(p 1f7/2)-1.",,,,,
3780,7+,,"E(level): From 62Ni(d,α)., Jπ(level): Configuration=62Ni~#(p 1f7/2)-1., Jπ(level): Configuration=62Ni~#(p 1f7/2)-1.",,,,,
4040,7+,,"E(level): From 62Ni(d,α)., Jπ(level): Configuration=62Ni~#(p 1f7/2)-1.",,,,,
4156.57,"3-,4-",,"E(level): From 59Co(n,γ), (pol n,γ).",,,,,
4365,"3-,4-",,"E(level): From 59Co(d,p).",,,,,
4485,,,"E(level): From 58Fe(3He,p).",,,,,
4507,,,E(level): May correspond to 4514 keV.,,,,,
4523,,,E(level): May correspond to 4514 keV.,,,,,
4550,7+,,Jπ(level): Configuration=62Ni~#(p 1f7/2)-1.,,,,,
4594,,,"E(level): From 59Co(d,p). May correspond to 4601 keV.",,,,,
4610,,,"E(level): From 59Co(d,p). May correspond to 4601 keV.",,,,,
4698,"3-,4-",,"E(level): From 59Co(d,p).",,,,,
4700,7+,,Jπ(level): Configuration=62Ni~#(p 1f7/2)-1.,,,,,
4800,7+,,Jπ(level): Configuration=62Ni~#(p 1f7/2)-1.,,,,,
7491.92,"3-,4-",,E(level): Thermal capture state.,,,,,
7514,,,"E(level): From (n,γ) E=24 keV.",,,,,
,,,,,,,,
E(level),E(gamma),Comments,,,,,,
58.59,58.603,"E(γ): From 60Co (10.5 min) IT decay., M(γ): From 60Co (10.5 min) IT decay.",,,,,,
785.71,785.724,"M(γ): From γ(θ) in 59Co(n,γ), (pol n,γ).",,,,,,
1216.45,779.91,"E(γ): From 48Ca(15N,3nγ)., I(γ): From 48Ca(15N,3nγ).",,,,,,
1800.22,420.86,"E(γ): From 48Ca(15N,3nγ)., I(γ): From 48Ca(15N,3nγ).",,,,,,
584.43,"E(γ): From 48Ca(15N,3nγ)., I(γ): From 48Ca(15N,3nγ).",,,,,,,
1799.7,"E(γ): From 48Ca(15N,3nγ)., I(γ): From 48Ca(15N,3nγ).",,,,,,,
2132.23,332.54,"E(γ): Deduced from level separation. γ not included in energy fit.. From 48Ca(15N,3nγ)., I(γ): From 48Ca(15N,3nγ).",,,,,,
916.44,"E(γ): From 48Ca(15N,3nγ)., I(γ): From 48Ca(15N,3nγ).",,,,,,,
2823.2,691,"E(γ): From 48Ca(15N,3nγ)., I(γ): From 48Ca(15N,3nγ).",,,,,,
3646.6,823.33,"E(γ): From 48Ca(15N,3nγ)., I(γ): From 48Ca(15N,3nγ).",,,,,,
3690.5,867.3,"E(γ): From 48Ca(15N,3nγ)., I(γ): From 48Ca(15N,3nγ).",,,,,,
3841.2,1017.94,"E(γ): Deduced from level separation. γ not included in energy fit.. From 48Ca(15N,3nγ)., I(γ): From 48Ca(15N,3nγ).",,,,,,
4277,435.76,"E(γ): From 48Ca(15N,3nγ)., I(γ): From 48Ca(15N,3nγ).",,,,,,
630.37,"E(γ): From 48Ca(15N,3nγ)., I(γ): From 48Ca(15N,3nγ).",,,,,,,
4827.5,550.5,"E(γ): From 48Ca(15N,3nγ)., I(γ): From 48Ca(15N,3nγ).",,,,,,
5160.8,883.79,"E(γ): From 48Ca(15N,3nγ)., I(γ): From 48Ca(15N,3nγ).",,,,,,
5575.6,748.1,"E(γ): From 48Ca(15N,3nγ)., I(γ): From 48Ca(15N,3nγ).",,,,,,
6417,1256.2,"E(γ): From 48Ca(15N,3nγ)., I(γ): From 48Ca(15N,3nγ).",,,,,,
8122.4,2546.8,"E(γ): From 48Ca(15N,3nγ)., I(γ): From 48Ca(15N,3nγ).",,,,,,
