E(level)(keV),Jπ(level),E(γ)(keV),I(γ),M(γ)
6417 1,-12,1256.2 8,100,
7.05E+3 5,,,,
7491.92 8 S,"3-,4-",,,
≈7514,,,,
7.79E+3 4,,,,
8122.4 17,-13,2546.8 15,100,
8.69E+3 15,,,,
,,,,
E(level)(keV),T1/2(level),Multipolarity,MixingRatio,ConversionCoefficient
58.59,"10.467 m 6 , % IT = 99.75 3, % β- = 0.25 3",M3+(E4),0.02 LT,47.3
277.2,,(M1+E2),,0.007
288.4,,(M1+E2),,0.014
435.71,,(M1+E2),,0.05
5+,435.71 5,,0.0017,"α=0.0017 7, α(K)=0.0015 6, α(L)=0.00015 6, α(M)=2.1×10-5 8, α(N)=9.E-7 4, α(N+)=9.E-7 4"
506.2,,(M1+E2),,0.0016
542.82,,(M1+E2),,0.01
614.55,,(M1+E2),,0.00084
785.71,< 3.2 ps,(M1+E2),,0.0012
4+,785.724 10,,0.00035,"α=0.00035 6, α(K)=0.00031 5, α(L)=3.0×10-5 5, α(M)=4.2E-6 7, α(N)=1.9E-7 3, α(N+)=1.9E-7 3"
1800.22,1.7 ps +14-6,[E1],,0.000525
,,,,
E(level),T1/2(level),,,
1216.45,0.28 ps +21-14,,,
1379.74,0.7 ps 3,,,
1510,,,,
2363.96,,,,
3108,,,,
3469,,,,
3529,,,,
3674,,,,
3780,,,,
4040,,,,
4156.57,,,,
4365,,,,
4485,,,,
4507,,,,
4523,,,,
4550,,,,
4594,,,,
4610,,,,
4698,,,,
4700,,,,
4800,,,,
7491.92,,,,
7514,,,,
