E(level)(keV),JPi(level),E()(keV),I(),M(),BandName,BandNum,H
704.2 3,17/2+,136.6 3,100.0 6,E 2,,,
704.2 3,17/2+,269.0 3,30.7 17,E 2,,,
704.2 3,17/2+,269.0 3,30.7 17,E 2,,,
704.2 3,17/2+,269.0 3,100.0 6,E 2,,,
704.2 3,17/2+,269.0 3,100.0 6,E 2,,,
775.2 2,5/2-,463.4 1,7.9 21,E 2,,,
775.2 2,5/2-,463.4 1,11 3,E 2,,,
775.2 2,5/2-,463.4 1,100 26,E 2,,,
775.2 2,5/2-,577.6 2,7.9 21,E 2,,,
775.2 2,5/2-,577.6 2,11 3,E 2,,,
775.2 2,5/2-,577.6 2,100 26,E 2,,,
775.2 2,5/2-,667.7 2,7.9 21,E 2,,,
775.2 2,5/2-,667.7 2,11 3,E 2,,,
775.2 2,5/2-,667.7 2,100 26,E 2,,,
775.2 2,2-Jul,463.4 1,7.9 21,E 2,,,
775.2 2,2-Jul,463.4 1,11 3,E 2,,,
775.2 2,2-Jul,463.4 1,100 26,E 2,,,
775.2 2,2-Jul,577.6 2,7.9 21,E 2,,,
775.2 2,2-Jul,577.6 2,11 3,E 2,,,
775.2 2,2-Jul,577.6 2,100 26,E 2,,,
775.2 2,2-Jul,667.7 2,7.9 21,E 2,,,
775.2 2,2-Jul,667.7 2,11 3,E 2,,,
775.2 2,2-Jul,667.7 2,100 26,E 2,,,
785.3 2,7/2-,529.8 2,100 27,E 1,,,
785.3 2,7/2-,529.8 2,100 27,E 2,,,
785.3 2,7/2-,529.8 2,46 12,E 1,,,
785.3 2,7/2-,529.8 2,46 12,E 2,,,
785.3 2,7/2-,587.8 2,100 27,E 1,,,
785.3 2,7/2-,587.8 2,100 27,E 2,,,
785.3 2,7/2-,587.8 2,46 12,E 1,,,
785.3 2,7/2-,587.8 2,46 12,E 2,,,
785.3 2,9/2-,529.8 2,100 27,E 1,,,
785.3 2,9/2-,529.8 2,100 27,E 2,,,
785.3 2,9/2-,529.8 2,46 12,E 1,,,
785.3 2,9/2-,529.8 2,46 12,E 2,,,
785.3 2,9/2-,587.8 2,100 27,E 1,,,
785.3 2,9/2-,587.8 2,100 27,E 2,,,
785.3 2,9/2-,587.8 2,46 12,E 1,,,
785.3 2,9/2-,587.8 2,46 12,E 2,,,
797.5 3,(15/2-),183.8 3,34 4,E 2,,,
