E(level)(keV),JPi(level),E()(keV),I(),M()
≈5411,,nan,nan,E 2
≈5424,,nan,nan,E 2
≈5440,,nan,nan,E 2
≈5456,,nan,nan,E 2
≈5471,,nan,nan,E 2
≈5488,,nan,nan,E 2
≈5529,,nan,nan,E 2
≈5545,,nan,nan,E 2
≈5560,,nan,nan,E 2
5575.6 8,,748.1 3,100,E 2
≈5591,,nan,nan,E 2
≈5610,,nan,nan,E 2
≈5638,,nan,nan,E 2
≈5655,,nan,nan,E 2
≈5670,,nan,nan,E 2
≈5684,,nan,nan,E 2
≈5705,,nan,nan,E 2
≈5731,,nan,nan,E 2
≈5750,,nan,nan,E 2
≈5773,,nan,nan,E 2
≈5809,,nan,nan,E 2
≈5822,,nan,nan,E 2
≈5838,,nan,nan,E 2
≈5852,,nan,nan,E 2
≈5871,,nan,nan,E 2
≈5889,,nan,nan,E 2
≈5928,,nan,nan,E 2
≈5943,,nan,nan,E 2
≈5955,,nan,nan,E 2
≈5973,,nan,nan,E 2
≈5987,,nan,nan,E 2
≈5999,,nan,nan,E 2
≈6013,,nan,nan,E 2
≈6027,,nan,nan,E 2
≈6047,,nan,nan,E 2
≈6066,,nan,nan,E 2
≈6088,,nan,nan,E 2
≈6104,,nan,nan,E 2
≈6129,,nan,nan,E 2
≈6146,,nan,nan,E 2
≈6165,,nan,nan,E 2
≈6180,,nan,nan,E 2
≈6198,,nan,nan,E 2
6417 1,-12,1256.2 8,100,E 2
7.05E+3 5,,nan,nan,E 2
7491.92 8 S,"3-,4-",nan,nan,E 2
≈7514,,nan,nan,E 2
7.79E+3 4,,nan,nan,E 2
8122.4 17,-13,2546.8 15,100,E 2
8.69E+3 15,,nan,nan,E 2
,,nan,nan,E 2
E(level)(keV),T1/2(level),Multipolarity,MixingRatio,E 2
58.59,"10.467 m 6 , % IT = 99.75 3, % β- = 0.25 3",M3+(E4),0.02 LT,E 2
277.2,,(M1+E2),nan,E 2
288.4,,(M1+E2),nan,E 2
435.71,,(M1+E2),nan,E 2
5+,435.71 5,nan,0.0017,E 2
506.2,,(M1+E2),nan,E 2
542.82,,(M1+E2),nan,E 2
614.55,,(M1+E2),nan,E 2
785.71,< 3.2 ps,(M1+E2),nan,E 2
4+,785.724 10,nan,0.00035,E 2
1800.22,1.7 ps +14-6,[E1],nan,E 2
,,nan,nan,E 2
E(level),T1/2(level),nan,nan,E 2
1216.45,0.28 ps +21-14,nan,nan,E 2
1379.74,0.7 ps 3,nan,nan,E 2
1510,,nan,nan,E 2
2363.96,,nan,nan,E 2
3108,,nan,nan,E 2
3469,,nan,nan,E 2
3529,,nan,nan,E 2
3674,,nan,nan,E 2
3780,,nan,nan,E 2
4040,,nan,nan,E 2
4156.57,,nan,nan,E 2
4365,,nan,nan,E 2
4485,,nan,nan,E 2
4507,,nan,nan,E 2
4523,,nan,nan,E 2
4550,,nan,nan,E 2
4594,,nan,nan,E 2
4610,,nan,nan,E 2
4698,,nan,nan,E 2
4700,,nan,nan,E 2
4800,,nan,nan,E 2
7491.92,,nan,nan,E 2
7514,,nan,nan,E 2
