"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"1817.3","21/2+","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Kπ=19/2+ band.",
"1822.4","27/2+","","E(level): 7/2[633] (mixed i13/2 neutron) band,.",
"1832.5","(25/2-)","","E(level): From 173Ta ε decay. 1/2[521] band.",
"1982.1","(23/2)-","19.5 ns 6","μ=+6.63 23, E(level): From 173Ta ε decay. Kπ=23/2- band.",
"1989.5","(25/2-)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). 5/2[512] band.",
"2006.5","(23/2+)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Kπ=19/2+ band.",
"2014.3","29/2+","","E(level): 7/2[633] (mixed i13/2 neutron) band,.",
"2145.3","(25/2-)","","E(level): From 173Ta ε decay. Kπ=23/2- band.",
"2191.0","(25/2-)","","E(level): From 173Ta ε decay. YRARE EXTENSION OF 1/2[521] band.",
"2223.1","(25/2+)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Kπ=19/2+ band.",
"2263.6","(27/2-)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). 5/2[512] band.",
"2354.2","(27/2-)","","E(level): From 173Ta ε decay. Kπ=23/2- band.",
"2357.9","(27/2-)","","E(level): From 173Ta ε decay. 1/2[521] band.",
"2392.7","(29/2-)","","E(level): From 173Ta ε decay. 1/2[521] band.",
"2397.8","31/2+","","E(level): 7/2[633] (mixed i13/2 neutron) band,.",
"2464.8","(27/2+)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Kπ=19/2+ band.",
"2539.4","(29/2-)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). 5/2[512] band.",
"2596.2","(29/2-)","","E(level): From 173Ta ε decay. Kπ=23/2- band.",
"2601.6","33/2+","","E(level): 7/2[633] (mixed i13/2 neutron) band,.",
"2617.6","(29/2-)","","E(level): From 173Ta ε decay. YRARE EXTENSION OF 1/2[521] band.",
"2729.3","(29/2+)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Kπ=19/2+ band.",
"2814.7","(29/2-)","≤ 3.5 ns","E(level): From 173Ta ε decay. Kπ=29/2- band.",
"2818.3","(31/2-)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). 5/2[512] band.",
"2865.5","(31/2-)","","E(level): From 173Ta ε decay. Kπ=23/2- band.",
"2969.6","(31/2-)","","E(level): From 173Ta ε decay. 1/2[521] band.",
"3001.5","(33/2-)","","E(level): From 173Ta ε decay. 1/2[521] band.",
"3015.0","(31/2+)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Kπ=19/2+ band.",
"3028.2","35/2+","","E(level): 7/2[633] (mixed i13/2 neutron) band,.",
"3070.5","(31/2-)","","E(level): From 173Ta ε decay. Kπ=29/2- band.",
"3094.7","(33/2-)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). 5/2[512] band.",
"3105.2","(33/2-)","","E(level): From 173Ta ε decay. YRARE EXTENSION OF 1/2[521] band.",
"3159.4","(33/2-)","","E(level): From 173Ta ε decay. Kπ=23/2- band.",
"3251.5","37/2+","","E(level): 7/2[633] (mixed i13/2 neutron) band,.",
"3320.0","(33/2+)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Kπ=19/2+ band.",
"3346.9","(33/2-)","","E(level): From 173Ta ε decay. Kπ=29/2- band.",
"3382.7","(35/2-)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). 5/2[512] band.",
"3474.8","(35/2-)","","E(level): From 173Ta ε decay. Kπ=23/2- band.",
"3625.5","(35/2-)","","E(level): From 173Ta ε decay. 1/2[521] band.",
"3640.0","(37/2-)","","E(level): From 173Ta ε decay. 1/2[521] band.",
"3642.2","(35/2-)","","E(level): From 173Ta ε decay. Kπ=29/2- band.",
"3643.1","(35/2+)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Kπ=19/2+ band.",
"3660.9","(37/2-)","","E(level): From 173Ta ε decay. YRARE EXTENSION OF 1/2[521] band.",
"3685.5","(37/2-)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). 5/2[512] band.",
"3701.9","39/2+","","E(level): 7/2[633] (mixed i13/2 neutron) band,.",
"3811.1","(37/2-)","","E(level): From 173Ta ε decay. Kπ=23/2- band.",
"3954.5","(41/2+)","","E(level): 7/2[633] (mixed i13/2 neutron) band,.",
"3959.0","(37/2-)","","E(level): From 173Ta ε decay. Kπ=29/2- band.",
"3976.6","(39/2-)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). 5/2[512] band.",
"3982.6","(37/2+)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Kπ=19/2+ band.",
"4166.1","(39/2-)","","E(level): From 173Ta ε decay. Kπ=23/2- band.",
"4256.4","(41/2-)","","E(level): From 173Ta ε decay. 1/2[521] band.",
"4298.9","(39/2-)","","E(level): From 173Ta ε decay. Kπ=29/2- band.",
"4314.0","(41/2-)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). 5/2[512] band.",
"4324.6","(39/2-)","","E(level): From 173Ta ε decay. 1/2[521] band.",
"4342.6","(39/2+)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Kπ=19/2+ band.",
"4414.6","(43/2+)","","E(level): 7/2[633] (mixed i13/2 neutron) band,.",
"4616.2","(43/2-)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). 5/2[512] band.",
"4661","(41/2-)","","E(level): From 173Ta ε decay. Kπ=29/2- band.",
"4703.5","(45/2+)","","E(level): 7/2[633] (mixed i13/2 neutron) band,.",
"4717","(41/2+)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Kπ=19/2+ band.",
"4930.4","(45/2-)","","E(level): From 173Ta ε decay. 1/2[521] band.",
"4985","(45/2-)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). 5/2[512] band.",
"5070","(43/2-)","","E(level): From 173Ta ε decay. 1/2[521] band.",
"5166.7","(47/2+)","","E(level): 7/2[633] (mixed i13/2 neutron) band,.",
"5312.8","(47/2-)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). 5/2[512] band.",
"5493.7","(49/2+)","","E(level): 7/2[633] (mixed i13/2 neutron) band,.",
"5664","(49/2-)","","E(level): From 173Ta ε decay. 1/2[521] band.",
"5970.2","(51/2+)","","E(level): 7/2[633] (mixed i13/2 neutron) band,.",
"6070.2","(51/2-)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). 5/2[512] band.",
"6330.1","(53/2+)","","E(level): 7/2[633] (mixed i13/2 neutron) band,.",
"6826.3","(55/2+)","","E(level): 7/2[633] (mixed i13/2 neutron) band,.",
"6885","(55/2-)","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). 5/2[512] band.",
"7204","(57/2+)","","E(level): 7/2[633] (mixed i13/2 neutron) band,.",
"X","J","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Triaxial SD band (2005Ha05,2005Ri16).",
"692+X","J+2","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Triaxial SD band (2005Ha05,2005Ri16).",
"1425+X","J+4","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Triaxial SD band (2005Ha05,2005Ri16).",
"2199+X","J+6","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Triaxial SD band (2005Ha05,2005Ri16).",
"3011+X","J+8","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Triaxial SD band (2005Ha05,2005Ri16).",
"3867+X","J+10","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Triaxial SD band (2005Ha05,2005Ri16).",
"4773+X","J+12","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Triaxial SD band (2005Ha05,2005Ri16).",
"5731+X","J+14","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Triaxial SD band (2005Ha05,2005Ri16).",
"6745+X","J+16","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Triaxial SD band (2005Ha05,2005Ri16).",
"7818+X","J+18","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Triaxial SD band (2005Ha05,2005Ri16).",
"8953+X","J+20","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Triaxial SD band (2005Ha05,2005Ri16).",
"10153+X","J+22","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Triaxial SD band (2005Ha05,2005Ri16).",
"11418+X","J+24","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Triaxial SD band (2005Ha05,2005Ri16).",
"12751+X","J+26","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Triaxial SD band (2005Ha05,2005Ri16).",
"14151+X","J+28","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Triaxial SD band (2005Ha05,2005Ri16).",
"15620+X","J+30","","E(level): Weighted average from 173Ta ε decay and (HI,xnγ). Triaxial SD band (2005Ha05,2005Ri16).",

